,doi_from_pubmed,pmid,title,citation,year,authors,journal,volume,issue,pages,url,abstract,reference_code,doi_from_robert,reference_code_in_online_database
326,,13295222,"Specificity, kinetics, and inhibition of alpha- and beta-hydroxysteroid dehydrogenases.","<PubMedArticle 13295222> TALALAY P; MARCUS PI. Specificity, kinetics, and inhibition of alpha- and beta-hydroxysteroid dehydrogenases.. J Biol Chem. 1956. 218(2):675-91",1956,TALALAY P; MARCUS PI,J Biol Chem,218,2,675-91,https://ncbi.nlm.nih.gov/pubmed/13295222,,56TAL/MAR,,56TAL/MAR_179
327,,13295228,The role of xylulose 5-phosphate in xylose metabolism of Lactobacillus pentosus.,<PubMedArticle 13295228> STUMPF PK; HORECKER BL. The role of xylulose 5-phosphate in xylose metabolism of Lactobacillus pentosus.. J Biol Chem. 1956. 218(2):753-68,1956,STUMPF PK; HORECKER BL,J Biol Chem,218,2,753-68,https://ncbi.nlm.nih.gov/pubmed/13295228,,56STU/HOR,,56STU/HOR_1245
328,,13295236,D-Mannitol 1-phosphate dehydrogenase from Escherichia coli.,<PubMedArticle 13295236> WOLFF JB; KAPLAN NO. D-Mannitol 1-phosphate dehydrogenase from Escherichia coli.. J Biol Chem. 1956. 218(2):849-69,1956,WOLFF JB; KAPLAN NO,J Biol Chem,218,2,849-69,https://ncbi.nlm.nih.gov/pubmed/13295236,,56WOL/KAP,,56WOL/KAP_76
329,,13295245,The enthalpy change of adenosine triphosphate hydrolysis.,<PubMedArticle 13295245> PODOLSKY RJ; MORALES MF. The enthalpy change of adenosine triphosphate hydrolysis.. J Biol Chem. 1956. 218(2):945-59,1956,PODOLSKY RJ; MORALES MF,J Biol Chem,218,2,945-59,https://ncbi.nlm.nih.gov/pubmed/13295245,,56POD/MOR,,56POD/MOR_1078
330,,13295248,Enzymes of fatty acid metabolism.  II.  Properties of crystalline crotonase.,<PubMedArticle 13295248> STERN JR; DEL CAMPILLO A. Enzymes of fatty acid metabolism.  II.  Properties of crystalline crotonase.. J Biol Chem. 1956. 218(2):985-1002,1956,STERN JR; DEL CAMPILLO A,J Biol Chem,218,2,985-1002,https://ncbi.nlm.nih.gov/pubmed/13295248,,56STE/DEL,,56STE/DEL_1178
331,10.1016/0003-9861(56)90091-1,13314642,Phosphoglucose isomerase of green gram (Phaseolus radiatus).,<PubMedArticle 13314642> RAMASARMA T; GIRI KV. Phosphoglucose isomerase of green gram (Phaseolus radiatus).. Arch Biochem Biophys. 1956. 62(1):91-6,1956,RAMASARMA T; GIRI KV,Arch Biochem Biophys,62,1,91-6,https://ncbi.nlm.nih.gov/pubmed/13314642,,56RAM/GIR,10.1016/0003-9861(56)90091-1,56RAM/GIR_1352
332,,13319278,Enzymatic conversion of L-fucose to L-fuculose.,<PubMedArticle 13319278> GREEN M; COHEN SS. Enzymatic conversion of L-fucose to L-fuculose.. J Biol Chem. 1956. 219(2):557-68,1956,GREEN M; COHEN SS,J Biol Chem,219,2,557-68,https://ncbi.nlm.nih.gov/pubmed/13319278,,56GRE/COH,,56GRE/COH_1296
333,,13319297,Phosphoacetylglucosamine mutase of Neurospora.,<PubMedArticle 13319297> REISSIG JL. Phosphoacetylglucosamine mutase of Neurospora.. J Biol Chem. 1956. 219(2):753-67,1956,REISSIG JL,J Biol Chem,219,2,753-67,https://ncbi.nlm.nih.gov/pubmed/13319297,,56REI,,56REI_1407
334,,13319331,The biosynthesis of histidine:  imidazoleacetol phosphate transaminase.,<PubMedArticle 13319331> AMES BN; HORECKER BL. The biosynthesis of histidine:  imidazoleacetol phosphate transaminase.. J Biol Chem. 1956. 220(1):113-28,1956,AMES BN; HORECKER BL,J Biol Chem,220,1,113-28,https://ncbi.nlm.nih.gov/pubmed/13319331,,56AME/HOR,,56AME/HOR_519
335,,13331936,Studies on the purification and properties of the serine-forming enzyme system.,<PubMedArticle 13331936> ALEXANDER N; GREENBERG DM. Studies on the purification and properties of the serine-forming enzyme system.. J Biol Chem. 1956. 220(2):775-85,1956,ALEXANDER N; GREENBERG DM,J Biol Chem,220,2,775-85,https://ncbi.nlm.nih.gov/pubmed/13331936,,56ALE/GRE,,56ALE/GRE_348
336,,13345795,Enzymes of fatty acid metabolism.  IV.  Preparation and properties of coenzyme A transferase.,<PubMedArticle 13345795> STERN JR; COON MJ; DEL CAMPILLO A; SCHNEIDER MC. Enzymes of fatty acid metabolism.  IV.  Preparation and properties of coenzyme A transferase.. J Biol Chem. 1956. 221(1):15-31,1956,STERN JR; COON MJ; DEL CAMPILLO A; SCHNEIDER MC,J Biol Chem,221,1,15-31,https://ncbi.nlm.nih.gov/pubmed/13345795,,56STE/COO,,56STE/COO_719
337,,13345796,Optical properties of aceto-acetyl-S-coenzyme A and its metal chelates.,<PubMedArticle 13345796> STERN JR. Optical properties of aceto-acetyl-S-coenzyme A and its metal chelates.. J Biol Chem. 1956. 221(1):33-44,1956,STERN JR,J Biol Chem,221,1,33-44,https://ncbi.nlm.nih.gov/pubmed/13345796,,56STE,,56STE_720
338,,13345810,Lactic dehydrogenase.  II.  Variation of kinetic and equilibrium constants with temperature.,<PubMedArticle 13345810> HAKALA MT; GLAID AJ; SCHWERT GW. Lactic dehydrogenase.  II.  Variation of kinetic and equilibrium constants with temperature.. J Biol Chem. 1956. 221(1):191-209,1956,HAKALA MT; GLAID AJ; SCHWERT GW,J Biol Chem,221,1,191-209,https://ncbi.nlm.nih.gov/pubmed/13345810,,56HAK/GLA,,56HAK/GLA_100
339,,13354402,[Synthesis and properties of phosphoryl coenzyme A].,<PubMedArticle 13354402> FEUER G; WOLLEMANN M. [Synthesis and properties of phosphoryl coenzyme A].. Acta Physiol Acad Sci Hung. 1956. 10(1):1-10,1956,FEUER G; WOLLEMANN M,Acta Physiol Acad Sci Hung,10,1,1-10,https://ncbi.nlm.nih.gov/pubmed/13354402,,56FEU/WOL,,56FEU/WOL_557
340,10.1016/0003-9861(56)90044-3,13355454,Biosynthesis of guanidinoacetic acid.  I.  Purification and properties of transamidinase.,<PubMedArticle 13355454> RATNER S; ROCHOVANSKY O. Biosynthesis of guanidinoacetic acid.  I.  Purification and properties of transamidinase.. Arch Biochem Biophys. 1956. 63(2):277-95,1956,RATNER S; ROCHOVANSKY O,Arch Biochem Biophys,63,2,277-95,https://ncbi.nlm.nih.gov/pubmed/13355454,,56RAT/ROC,10.1016/0003-9861(56)90044-3,56RAT/ROC_364
341,,13357478,Reaction of pyridine nucleotide analogues with dehydrogenases.,<PubMedArticle 13357478> CIOTTI MM; KAPLAN NO; STOLZENBACH FE. Reaction of pyridine nucleotide analogues with dehydrogenases.. J Biol Chem. 1956. 221(2):833-44,1956,CIOTTI MM; KAPLAN NO; STOLZENBACH FE,J Biol Chem,221,2,833-44,https://ncbi.nlm.nih.gov/pubmed/13357478,,56KAP/CIO,,56KAP/CIO_278
342,10.1016/0003-9861(56)90270-3,13363434,"The kinetics of myokinase.  II.  Studies of heat denaturation, the effects of salts and the state of equilibrium.","<PubMedArticle 13363434> BOWEN WJ; KERWIN TD. The kinetics of myokinase.  II.  Studies of heat denaturation, the effects of salts and the state of equilibrium.. Arch Biochem Biophys. 1956. 64(2):278-84",1956,BOWEN WJ; KERWIN TD,Arch Biochem Biophys,64,2,278-84,https://ncbi.nlm.nih.gov/pubmed/13363434,,56BOW/KER,10.1016/0003-9861(56)90270-3,56BOW/KER_637
343,,13366975,The preparation and properties of adenylosuccinase and adenylosuccinic acid.,<PubMedArticle 13366975> CARTER CE; COHEN LH. The preparation and properties of adenylosuccinase and adenylosuccinic acid.. J Biol Chem. 1956. 222(1):17-30,1956,CARTER CE; COHEN LH,J Biol Chem,222,1,17-30,https://ncbi.nlm.nih.gov/pubmed/13366975,,56CAR/COH,,56CAR/COH_1224
344,10.1042/bj0640567,13373810,Pentose phosphate isomerase and epimerase from animal tissues.,<PubMedArticle 13373810> DICKENS F; WILLIAMSON DH. Pentose phosphate isomerase and epimerase from animal tissues.. Biochem J. 1956. 64(3):567-78,1956,DICKENS F; WILLIAMSON DH,Biochem J,64,3,567-78,https://ncbi.nlm.nih.gov/pubmed/13373810,,56DIC/WIL,10.1042/bj0640567,56DIC/WIL_1333
345,,13385236,Purification and some properties of phosphorylglyceric acid mutase from rabbit skeletal muscle.,<PubMedArticle 13385236> COWGILL RW; PIZER LI. Purification and some properties of phosphorylglyceric acid mutase from rabbit skeletal muscle.. J Biol Chem. 1956. 223(2):885-95,1956,COWGILL RW; PIZER LI,J Biol Chem,223,2,885-95,https://ncbi.nlm.nih.gov/pubmed/13385236,,56COW/PIZ,,56COW/PIZ_1389
346,,13385247,The purification of phosphoketopentoepimerase from Lactobacillus pentosus and the preparation of xylulose 5-phosphate.,<PubMedArticle 13385247> HORECKER BL; HURWITZ J. The purification of phosphoketopentoepimerase from Lactobacillus pentosus and the preparation of xylulose 5-phosphate.. J Biol Chem. 1956. 223(2):993-1008,1956,HORECKER BL; HURWITZ J,J Biol Chem,223,2,993-1008,https://ncbi.nlm.nih.gov/pubmed/13385247,,56HUR/HOR,,56HUR/HOR_1244
347,,13398392,Determination of the equilibrium of the hexokinase reaction and the free energy of hydrolysis of adenosine triphosphate.,<PubMedArticle 13398392> BOYER PD; ROBBINS EA. Determination of the equilibrium of the hexokinase reaction and the free energy of hydrolysis of adenosine triphosphate.. J Biol Chem. 1957. 224(1):121-35,1957,BOYER PD; ROBBINS EA,J Biol Chem,224,1,121-35,https://ncbi.nlm.nih.gov/pubmed/13398392,,57ROB/BOY,,57ROB/BOY_544
348,,13416220,The L-xylulose-xylitol enzyme and other polyol dehydrogenases of guinea pig liver mitochondria.,<PubMedArticle 13416220> HOLLMANN S; TOUSTER O. The L-xylulose-xylitol enzyme and other polyol dehydrogenases of guinea pig liver mitochondria.. J Biol Chem. 1957. 225(1):87-102,1957,HOLLMANN S; TOUSTER O,J Biol Chem,225,1,87-102,https://ncbi.nlm.nih.gov/pubmed/13416220,,57HOL/TOU,,57HOL/TOU_56
349,,13416257,The purification and properties of beta-hydroxyisobutyric dehydrogenase.,<PubMedArticle 13416257> ROBINSON WG; COON MJ. The purification and properties of beta-hydroxyisobutyric dehydrogenase.. J Biol Chem. 1957. 225(1):511-21,1957,ROBINSON WG; COON MJ,J Biol Chem,225,1,511-21,https://ncbi.nlm.nih.gov/pubmed/13416257,,57ROB/COO,,57ROB/COO_122
350,,13426146,[Enzymic determination of L(+)-lactic acid].,<PubMedArticle 13426146> HOHORST HJ. [Enzymic determination of L(+)-lactic acid].. Biochem Z. 1957. 328(7):509-21,1957,HOHORST HJ,Biochem Z,328,7,509-21,https://ncbi.nlm.nih.gov/pubmed/13426146,,57HOH,,57HOH_102
351,,13428737,Enzymatic formation of xylulose 5-phosphate from ribose 5-phosphate in spleen.,<PubMedArticle 13428737> ASHWELL G; HICKMAN J. Enzymatic formation of xylulose 5-phosphate from ribose 5-phosphate in spleen.. J Biol Chem. 1957. 226(1):65-76,1957,ASHWELL G; HICKMAN J,J Biol Chem,226,1,65-76,https://ncbi.nlm.nih.gov/pubmed/13428737,,57ASH/HIC,,57ASH/HIC_1246
352,,13449064,Studies on the properties of threonine aldolases.,<PubMedArticle 13449064> KARASEK MA; GREENBERG DM. Studies on the properties of threonine aldolases.. J Biol Chem. 1957. 227(1):191-205,1957,KARASEK MA; GREENBERG DM,J Biol Chem,227,1,191-205,https://ncbi.nlm.nih.gov/pubmed/13449064,,57KAR/GRE,,57KAR/GRE_347
353,,13475309,Biosynthesis of the purines. XVI. The synthesis of adenosine 5'-phosphate and 5-amino-4-imidazolecarboxamide ribotide by a nucleotide pyrophosphorylase.,<PubMedArticle 13475309> FLAKS JG; ERWIN MJ; BUCHANAN JM. Biosynthesis of the purines. XVI. The synthesis of adenosine 5'-phosphate and 5-amino-4-imidazolecarboxamide ribotide by a nucleotide pyrophosphorylase.. J Biol Chem. 1957. 228(1):201-13,1957,FLAKS JG; ERWIN MJ; BUCHANAN JM,J Biol Chem,228,1,201-13,https://ncbi.nlm.nih.gov/pubmed/13475309,,57FLA/ERW,,57FLA/ERW_476
354,,13475367,The kinetic properties of yeast and muscle phosphoglyceric acid mutase.,<PubMedArticle 13475367> RODWELL VW; TOWNE JC; GRISOLIA S. The kinetic properties of yeast and muscle phosphoglyceric acid mutase.. J Biol Chem. 1957. 228(2):875-90,1957,RODWELL VW; TOWNE JC; GRISOLIA S,J Biol Chem,228,2,875-90,https://ncbi.nlm.nih.gov/pubmed/13475367,,57ROD/TOW,,57ROD/TOW_1390
355,10.1042/bj0670651,13488919,The purification and properties of rabbit-muscle myokinase.,<PubMedArticle 13488919> CALLAGHAN OH. The purification and properties of rabbit-muscle myokinase.. Biochem J. 1957. 67(4):651-7,1957,CALLAGHAN OH,Biochem J,67,4,651-7,https://ncbi.nlm.nih.gov/pubmed/13488919,,57CAL,10.1042/bj0670651,57CAL_638
356,,13491567,The enzymic interconversion of uridine diphosphogalactose and uridine diphosphoglucose.,<PubMedArticle 13491567> MAXWELL ES. The enzymic interconversion of uridine diphosphogalactose and uridine diphosphoglucose.. J Biol Chem. 1957. 229(1):139-51,1957,MAXWELL ES,J Biol Chem,229,1,139-51,https://ncbi.nlm.nih.gov/pubmed/13491567,,57MAX,,57MAX_1249
357,,13491582,Isocitritase; enzyme properties and reaction equilibrium.,<PubMedArticle 13491582> SMITH RA; GUNSALUS IC. Isocitritase; enzyme properties and reaction equilibrium.. J Biol Chem. 1957. 229(1):305-19,1957,SMITH RA; GUNSALUS IC,J Biol Chem,229,1,305-19,https://ncbi.nlm.nih.gov/pubmed/13491582,,57SMI/GUN,,57SMI/GUN_1114
358,,13499474,[Determination of free energy of hydrolysis of adenosintriphosphoric acid according to the equilibrium constant of hexokinase reaction].,<PubMedArticle 13499474> VLADIMIROV GE; VLASOVA VG; KOLOTILOVA AI; LYZLOVA SN; PANTELEEVA NS. [Determination of free energy of hydrolysis of adenosintriphosphoric acid according to the equilibrium constant of hexokinase reaction].. Biokhimiia. 1957. 22(6):963-70,1957,VLADIMIROV GE; VLASOVA VG; KOLOTILOVA AI; LYZLOVA SN; PANTELEEVA NS,Biokhimiia,22,6,963-70,https://ncbi.nlm.nih.gov/pubmed/13499474,,57VLA/VLA,,57VLA/VLA_545
359,,13502367,"The transfer of sulfate among phenolic compounds with 3',5'-diphosphoadenosine as coenzyme.","<PubMedArticle 13502367> GREGORY JD; LIPMANN F. The transfer of sulfate among phenolic compounds with 3',5'-diphosphoadenosine as coenzyme.. J Biol Chem. 1957. 229(2):1081-90",1957,GREGORY JD; LIPMANN F,J Biol Chem,229,2,1081-90,https://ncbi.nlm.nih.gov/pubmed/13502367,,57GRE/LIP,,57GRE/LIP_716
360,,13522707,"[Isolation of D-glycerate dehydrogenase, some properties of the enzyme and its application to the enzymic-optic determination of hydroxypyruvate in presence of pyruvate].","<PubMedArticle 13522707> HOLZER H; HOLLDORF A. [Isolation of D-glycerate dehydrogenase, some properties of the enzyme and its application to the enzymic-optic determination of hydroxypyruvate in presence of pyruvate].. Biochem Z. 1957. 329(4):292-312",1957,HOLZER H; HOLLDORF A,Biochem Z,329,4,292-312,https://ncbi.nlm.nih.gov/pubmed/13522707,,57HOL/HOL,,57HOL/HOL_113
361,10.1016/0003-9861(58)90003-1,13534662,"The oxidative pentose phosphate cycle. III. The interconversion of ribose 5-phosphate, ribulose 5-phosphate and xylulose 5-phosphate.","<PubMedArticle 13534662> TABACHNICK M; SRERE PA; COOPER J; RACKER E. The oxidative pentose phosphate cycle. III. The interconversion of ribose 5-phosphate, ribulose 5-phosphate and xylulose 5-phosphate.. Arch Biochem Biophys. 1958. 74(2):315-25",1958,TABACHNICK M; SRERE PA; COOPER J; RACKER E,Arch Biochem Biophys,74,2,315-25,https://ncbi.nlm.nih.gov/pubmed/13534662,,58TAB/SRE,10.1016/0003-9861(58)90003-1,58TAB/SRE_1335
362,10.1016/0003-9861(58)90403-x,13534693,Some physical and chemical properties of crystalline alpha-glycerophosphate dehydrogenase.,<PubMedArticle 13534693> YOUNG HL; PACE N. Some physical and chemical properties of crystalline alpha-glycerophosphate dehydrogenase.. Arch Biochem Biophys. 1958. 75(1):125-41,1958,YOUNG HL; PACE N,Arch Biochem Biophys,75,1,125-41,https://ncbi.nlm.nih.gov/pubmed/13534693,,58YOU/PAC,10.1016/0003-9861(58)90403-x,58YOU/PAC_45
363,,13538966,The biosynthesis of trehalose phosphate.,<PubMedArticle 13538966> CABIB E; LELOIR LF. The biosynthesis of trehalose phosphate.. J Biol Chem. 1958. 231(1):259-75,1958,CABIB E; LELOIR LF,J Biol Chem,231,1,259-75,https://ncbi.nlm.nih.gov/pubmed/13538966,,58CAB/LEL,,58CAB/LEL_432
364,,13539034,Pentose fermentation by Lactobacillus plantarum. II. L-arabinose isomerase.,<PubMedArticle 13539034> HEATH EC; HORECKER BL; SMYRNIOTIS PZ; TAKAGI Y. Pentose fermentation by Lactobacillus plantarum. II. L-arabinose isomerase.. J Biol Chem. 1958. 231(2):1031-7,1958,HEATH EC; HORECKER BL; SMYRNIOTIS PZ; TAKAGI Y,J Biol Chem,231,2,1031-7,https://ncbi.nlm.nih.gov/pubmed/13539034,,58HEA/HOR,,58HEA/HOR_1297
365,,13539036,Pentose fermenation by Lactobacillus plantarum. IV. L-ribulose-5-phosphate 4-epimerase.,<PubMedArticle 13539036> BURMA DP; HORECKER BL. Pentose fermenation by Lactobacillus plantarum. IV. L-ribulose-5-phosphate 4-epimerase.. J Biol Chem. 1958. 231(2):1053-64,1958,BURMA DP; HORECKER BL,J Biol Chem,231,2,1053-64,https://ncbi.nlm.nih.gov/pubmed/13539036,,58BUR/HOR,,58BUR/HOR_1264
366,,13549442,Degradation of L-arabinose by Aerobacter aerogenes. III. Identification and properties of L-ribulose-5-phosphate 4-epimerase.,<PubMedArticle 13549442> WOLIN MJ; SIMPSON FJ; WOOD WA. Degradation of L-arabinose by Aerobacter aerogenes. III. Identification and properties of L-ribulose-5-phosphate 4-epimerase.. J Biol Chem. 1958. 232(1):559-75,1958,WOLIN MJ; SIMPSON FJ; WOOD WA,J Biol Chem,232,1,559-75,https://ncbi.nlm.nih.gov/pubmed/13549442,,58WOL/SIM,,58WOL/SIM_1265
367,10.1042/bj0690448,13560389,Uridine diphosphoglucose pyrophosphorylase of pea seeds.,<PubMedArticle 13560389> TURNER DH; TURNER JF. Uridine diphosphoglucose pyrophosphorylase of pea seeds.. Biochem J. 1958. 69(3):448-52,1958,TURNER DH; TURNER JF,Biochem J,69,3,448-52,https://ncbi.nlm.nih.gov/pubmed/13560389,,58TUR/TUR,10.1042/bj0690448,58TUR/TUR_684
368,,13575417,"Human placental estradiol-17 beta dehydrogenase. I. Concentration, characterization and assay.","<PubMedArticle 13575417> LANGER LJ; ENGEL LL. Human placental estradiol-17 beta dehydrogenase. I. Concentration, characterization and assay.. J Biol Chem. 1958. 233(3):583-8",1958,LANGER LJ; ENGEL LL,J Biol Chem,233,3,583-8,https://ncbi.nlm.nih.gov/pubmed/13575417,,58LAN/ENG,,58LAN/ENG_194
369,,13575437,Enzymatic synthesis of adenosine-5'-phosphosulfate.,<PubMedArticle 13575437> ROBBINS PW; LIPMANN F. Enzymatic synthesis of adenosine-5'-phosphosulfate.. J Biol Chem. 1958. 233(3):686-90,1958,ROBBINS PW; LIPMANN F,J Biol Chem,233,3,686-90,https://ncbi.nlm.nih.gov/pubmed/13575437,,58ROB/LIP,,58ROB/LIP_678
370,,13587526,"Enzymatic reactions involving sulfate, sulfite, selenate, and molybdate.","<PubMedArticle 13587526> WILSON LG; BANDURSKI RS. Enzymatic reactions involving sulfate, sulfite, selenate, and molybdate.. J Biol Chem. 1958. 233(4):975-81",1958,WILSON LG; BANDURSKI RS,J Biol Chem,233,4,975-81,https://ncbi.nlm.nih.gov/pubmed/13587526,,58WIL/BAN,,58WIL/BAN_681
371,,13596391,About the metabolism of ribose 5-phosphate in hemolysates. I. Activity measurement and properties of phosphoribose isomerase. II. The pentose phosphate cycle in red blood cells.,<PubMedArticle 13596391> BRUNS FH; NOLTMANN E; VAHLHAUS E. About the metabolism of ribose 5-phosphate in hemolysates. I. Activity measurement and properties of phosphoribose isomerase. II. The pentose phosphate cycle in red blood cells.. Biochem Z. 1958. 330(6):483-96,1958,BRUNS FH; NOLTMANN E; VAHLHAUS E,Biochem Z,330,6,483-96,https://ncbi.nlm.nih.gov/pubmed/13596391,,58BRU/NOL,,58BRU/NOL_1334
372,,13596394,[Phosphomannose isomerase. II. Purification of the enzyme from yeast and separation of phosphomannose isomerase by column chromatography on hydroxyapatite].,<PubMedArticle 13596394> NOLTMANN E; BRUNS FH. [Phosphomannose isomerase. II. Purification of the enzyme from yeast and separation of phosphomannose isomerase by column chromatography on hydroxyapatite].. Biochem Z. 1958. 330(6):514-20,1958,NOLTMANN E; BRUNS FH,Biochem Z,330,6,514-20,https://ncbi.nlm.nih.gov/pubmed/13596394,,58NOL/BRU,,58NOL/BRU_1353
373,,13598730,Ribitol dehydrogenase. I. Purification and properties of the enzyme.,<PubMedArticle 13598730> FROMM HJ. Ribitol dehydrogenase. I. Purification and properties of the enzyme.. J Biol Chem. 1958. 233(5):1049-52,1958,FROMM HJ,J Biol Chem,233,5,1049-52,https://ncbi.nlm.nih.gov/pubmed/13598730,,58FRO2,,58FRO2_187
374,,13610869,Enzymatic phosphorylation of deoxycytidylic acid.,<PubMedArticle 13610869> MALEY F; OCHOA S. Enzymatic phosphorylation of deoxycytidylic acid.. J Biol Chem. 1958. 233(6):1538-43,1958,MALEY F; OCHOA S,J Biol Chem,233,6,1538-43,https://ncbi.nlm.nih.gov/pubmed/13610869,,58MAL/OCH,,58MAL/OCH_673
375,,13610916,alpha-Ketoglutaric dehydrogenase. VI. Reversible oxidation of dihydrothioctamide by diphosphopyridine nucleotide.,<PubMedArticle 13610916> SANADI DR; LANGLEY M; SEARLS RL. alpha-Ketoglutaric dehydrogenase. VI. Reversible oxidation of dihydrothioctamide by diphosphopyridine nucleotide.. J Biol Chem. 1959. 234(1):178-82,1959,SANADI DR; LANGLEY M; SEARLS RL,J Biol Chem,234,1,178-82,https://ncbi.nlm.nih.gov/pubmed/13610916,,59SAN/LAN,,59SAN/LAN_326
376,10.1042/bj0710395,13628583,Enthalpies of hydrolysis of glutamine and asparagine and of ionization of glutamic and aspartic acids.,<PubMedArticle 13628583> KITZINGER C; HEMS R. Enthalpies of hydrolysis of glutamine and asparagine and of ionization of glutamic and aspartic acids.. Biochem J. 1959. 71(2):395-400,1959,KITZINGER C; HEMS R,Biochem J,71,2,395-400,https://ncbi.nlm.nih.gov/pubmed/13628583,,59KIT/HEM,10.1042/bj0710395,59KIT/HEM_991
377,10.1042/bj0710400,13628584,Free-energy changes of the glutaminase reaction and the hydrolysis of the terminal pyrophosphate bond of adenosine triphosphate.,<PubMedArticle 13628584> BENZINGER T; KITZINGER C; HEMS R; BURTON K. Free-energy changes of the glutaminase reaction and the hydrolysis of the terminal pyrophosphate bond of adenosine triphosphate.. Biochem J. 1959. 71(2):400-7,1959,BENZINGER T; KITZINGER C; HEMS R; BURTON K,Biochem J,71,2,400-7,https://ncbi.nlm.nih.gov/pubmed/13628584,,59BEN/KIT,10.1042/bj0710400,59BEN/KIT_990
378,,13630884,Phosphorylation of pyruvate by the pyruvate kinase reaction and reversal of glycolysis in a reconstructed system.,<PubMedArticle 13630884> KRIMSKY I. Phosphorylation of pyruvate by the pyruvate kinase reaction and reversal of glycolysis in a reconstructed system.. J Biol Chem. 1959. 234(2):232-6,1959,KRIMSKY I,J Biol Chem,234,2,232-6,https://ncbi.nlm.nih.gov/pubmed/13630884,,59KRI,,59KRI_564
379,,13630886,"Phosphoglyceric acid mutase activity without added 2,3-diphosphoglycerate in preparations purified from wheat germ.","<PubMedArticle 13630886> ITO N; GRISOLIA S. Phosphoglyceric acid mutase activity without added 2,3-diphosphoglycerate in preparations purified from wheat germ.. J Biol Chem. 1959. 234(2):242-5",1959,ITO N; GRISOLIA S,J Biol Chem,234,2,242-5,https://ncbi.nlm.nih.gov/pubmed/13630886,,59ITO/GRI,,59ITO/GRI_1392
380,,13630903,The purification and properties of beta-methylaspartase.,<PubMedArticle 13630903> BARKER HA; SMYTH RD; WILSON RM; WEISSBACH H. The purification and properties of beta-methylaspartase.. J Biol Chem. 1959. 234(2):320-8,1959,BARKER HA; SMYTH RD; WILSON RM; WEISSBACH H,J Biol Chem,234,2,320-8,https://ncbi.nlm.nih.gov/pubmed/13630903,,59BAR/SMY,,59BAR/SMY_1214
381,,13641247,Propionic acid metabolism. I. The purification and properties of acrylyl coenzme A aminase.,<PubMedArticle 13641247> VAGELOS PR; EARL JM; STADTMAN ER. Propionic acid metabolism. I. The purification and properties of acrylyl coenzme A aminase.. J Biol Chem. 1959. 234(3):490-7,1959,VAGELOS PR; EARL JM; STADTMAN ER,J Biol Chem,234,3,490-7,https://ncbi.nlm.nih.gov/pubmed/13641247,,59VAG/EAR,,59VAG/EAR_1221
382,,13641268,The enzymatic synthesis of S-adenosyl-L-homocysteine from adenosine and homocysteine.,<PubMedArticle 13641268> DE LA HABA G; CANTONI GL. The enzymatic synthesis of S-adenosyl-L-homocysteine from adenosine and homocysteine.. J Biol Chem. 1959. 234(3):603-8,1959,DE LA HABA G; CANTONI GL,J Biol Chem,234,3,603-8,https://ncbi.nlm.nih.gov/pubmed/13641268,,59HAB/CAN,,59HAB/CAN_951
383,,13654294,Soluble gamma-aminobutyric-glutamic transaminase from Pseudomonas fluorescens.,<PubMedArticle 13654294> SCOTT EM; JAKOBY WB. Soluble gamma-aminobutyric-glutamic transaminase from Pseudomonas fluorescens.. J Biol Chem. 1959. 234(4):932-6,1959,SCOTT EM; JAKOBY WB,J Biol Chem,234,4,932-6,https://ncbi.nlm.nih.gov/pubmed/13654294,,59SCO/JAK,,59SCO/JAK_526
384,10.1128/jb.77.6.695-700.1959,13664648,D-sorbitol-6-phosphate dehydrogenase from Lactobacillus casei.,<PubMedArticle 13664648> SHOCKLEY TE; PRIDE HS. D-sorbitol-6-phosphate dehydrogenase from Lactobacillus casei.. J Bacteriol. 1959. 77(6):695-700,1959,SHOCKLEY TE; PRIDE HS,J Bacteriol,77,6,695-700,https://ncbi.nlm.nih.gov/pubmed/13664648,,59SHO/PRI,,59SHO/PRI_216
385,,13672942,Enzymatic conversion of beta-hydroxypropionate to malonic semialdehyde.,<PubMedArticle 13672942> DEN H; ROBINSON WG; COON MJ. Enzymatic conversion of beta-hydroxypropionate to malonic semialdehyde.. J Biol Chem. 1959. 234(7):1666-71,1959,DEN H; ROBINSON WG; COON MJ,J Biol Chem,234,7,1666-71,https://ncbi.nlm.nih.gov/pubmed/13672942,,59DEN/ROB,,59DEN/ROB_190
386,,13672968,Biosynthesis of the purines. XXV. The enzymatic cleavage of N-(5-amino-1-ribosyl-4-imidazolylcarbonyl)-L-aspartic acid 5'-phosphate.,<PubMedArticle 13672968> MILLER RW; LUKENS LN; BUCHANAN JM. Biosynthesis of the purines. XXV. The enzymatic cleavage of N-(5-amino-1-ribosyl-4-imidazolylcarbonyl)-L-aspartic acid 5'-phosphate.. J Biol Chem. 1959. 234(7):1806-11,1959,MILLER RW; LUKENS LN; BUCHANAN JM,J Biol Chem,234,7,1806-11,https://ncbi.nlm.nih.gov/pubmed/13672968,,59MIL/LUK,,59MIL/LUK_1225
387,,13672971,Uridine diphosphoacetylglucosamine pyrophosphorylase.,<PubMedArticle 13672971> STROMINGER JL; SMITH MS. Uridine diphosphoacetylglucosamine pyrophosphorylase.. J Biol Chem. 1959. 234(7):1822-7,1959,STROMINGER JL; SMITH MS,J Biol Chem,234,7,1822-7,https://ncbi.nlm.nih.gov/pubmed/13672971,,59STR/SMI,,59STR/SMI_702
