Enzyme:,Reaction:,Reference:,Reference ID:,T [K],pH ,Keq,Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
 ribonuclease (unclassified), guanylyl(3'->5')adenosine(aq) = guanosine 2':3'-(cyclic)phosphate(aq) + adenosine(aq),Khabarova M.I.; Zhenodarova S.M.; Mol. Biol. (Moscow); 6 547 (1972).,72KHA/ZHE_865,273.15,7,~8, , chromatography electrophoresis and spectrophotometry, phosphate (0.2 mol dm-3), ," 3.1.27.-                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 ribonuclease (unclassified), guanylyl(3'->5')cytidine(aq) = guanosine 2':3'-(cyclic)phosphate(aq) + cytidine(aq),Khabarova M.I.; Zhenodarova S.M.; Mol. Biol. (Moscow); 6 547 (1972).,72KHA/ZHE_866,273.15,4.65,~1, , chromatography electrophoresis and spectrophotometry, acetate (0.2 mol dm-3), ," 3.1.27.-                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 ribonuclease (unclassified), guanylyl(3'->5')cytidine(aq) = guanosine 2':3'-(cyclic)phosphate(aq) + cytidine(aq), , ,273.15,5.2,~6, , , , , , , , , , 
 ribonuclease (unclassified), guanylyl(3'->5')uridine(aq) = guanosine 2':3'-(cyclic)phosphate(aq) + uridine(aq),Khabarova M.I.; Zhenodarova S.M.; Mol. Biol. (Moscow); 6 547 (1972).,72KHA/ZHE_867,273.15,7,~4, , chromatography electrophoresis and spectrophotometry, phosphate (0.2 mol dm-3), ," 3.1.27.-                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 ribonuclease (unclassified), uridylyl(3'->5')cytidine(aq) = uridine 2':3'-(cyclic)phosphate(aq) + cytidine(aq),Khabarova M.I.; Zhenodarova S.M.; Mol. Biol. (Moscow); 6 547 (1972).,72KHA/ZHE_868,273.15,5.2,~6, , chromatography electrophoresis and spectrophotometry, acetate (0.2 mol dm-3) and phosphate (0.2 mol dm-3), ," 3.1.27.-                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 ribonuclease (unclassified), uridylyl(3'->5')cytidine(aq) = uridine 2':3'-(cyclic)phosphate(aq) + cytidine(aq), , ,273.15,7,~4, , ,phosphate, , , , , , , 
 ribonuclease (unclassified), uridylyl(3'->5')uridine(aq) = uridine 2':3'-(cyclic)phosphate(aq) + uridine(aq),Khabarova M.I.; Zhenodarova S.M.; Mol. Biol. (Moscow); 6 547 (1972).,72KHA/ZHE_869,273.15,7,~9, , chromatography electrophoresis and spectrophotometry, phosphate (0.2 mol dm-3), ," 3.1.27.-                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 glycerol dehydrogenase (NADP+), glycerol(aq) + NADP(aq) = (R)-glyceraldehyde(aq) + NADPH(aq),Kormann A.W.; Hurst R.O.; Flynn T.G.; Biochim. Biophys. Acta; 258 40 (1972).,72KOR/HUR_199,310.15,7,1.67E-06, , spectrophotometry, phosphate (0.05 mol dm-3), ," 1.1.1.72                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 galactinol-raffinose galactosyltransferase, 1-Î±-D-galactosyl-myo-inositol(aq) + raffinose(aq) = myo-inositol(aq) + stachyose(aq),Lehle L.; Tanner W.; Methods Enzymol.; 38 522 (1972).,72LEH/TAN_452,298.15,6.5,4, , , phosphate (0.5 mol dm-3), ," 2.4.1.67                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
" a,a-trehalose phosphorylase"," Î±,Î±-trehalose(aq) + orthophosphate(aq) = D-glucose(aq) + Î²-D-glucose 1-phosphate(aq)",Marechal L.R.; Belocopitow E.; J. Biol. Chem.; 247 3223 (1972).,72MAR/BEL_450,310.15,6.3,0.059, , enzymatic assay and spectrophotometry, imidazole (0.040 mol dm-3) + HCl, ," 2.4.1.64                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
" a,a-trehalose phosphorylase"," Î±,Î±-trehalose(aq) + orthophosphate(aq) = D-glucose(aq) + Î²-D-glucose 1-phosphate(aq)", , ,310.15,7,0.24, , , , , , , , , , 
 dihydrofolate reductase," 5,6,7,8-tetrahydrofolate(aq) + NADP(aq) = 7,8-dihydrofolate(aq) + NADPH(aq)",Nagelschmidt M.; Jaenicke L.; Hoppe-Seyler's Z. Physiol. Chem.; 353 773 (1972).,72NAG/JAE_299,298.15,8.2,0.0005, , spectrophotometry, Tris + HCl (0.4 mol dm-3), ," 1.5.1.3                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 catalase, H2O2(aq) = 1/2 O2(aq) + H2O(l),Nelson D.P.; Kiesow L.A.; Anal. Biochem.; 49 474 (1972).,72NEL/KIE_330,298.15, , , , calorimetry, none, ," 1.11.1.6                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-100.4
 glutamate-ammonia ligase, ATP(aq) + L-glutamate(aq) + ammonia(aq) = ADP(aq) + phosphate(aq) + L-glutamine(aq),Rosing J.; Slater E.C.; Biochim. Biophys. Acta; 267 275 (1972).,72ROS/SLA_1441,310.15,6.6,162, , enzymatic assay and chemical analysis, Tris (0.10 mol dm-3), ," 6.3.1.2                                                    (ENZYME |                                                 KEGG)                                                ", ,0.0504 MgCl2 & 0.0504 MgCl2,0.2, , 
 glutamate-ammonia ligase, ATP(aq) + L-glutamate(aq) + ammonia(aq) = ADP(aq) + phosphate(aq) + L-glutamine(aq), , ,310.15,7,270, , , , , , ,0.0504 MgCl2 & 0.0504 MgCl2,0.3, , 
 glutamate-ammonia ligase, ATP(aq) + L-glutamate(aq) + ammonia(aq) = ADP(aq) + phosphate(aq) + L-glutamine(aq), , ,310.15,7.1,280, , , , , , ,0.0107 MgCl2 & 0.0107 MgCl2,0.22, , 
 glutamate-ammonia ligase, ATP(aq) + L-glutamate(aq) + ammonia(aq) = ADP(aq) + phosphate(aq) + L-glutamine(aq), , ,310.15,7.5,668, , , , , , ,0.0495 MgCl2 & 0.0495 MgCl2,0.21, , 
 glutamate-ammonia ligase, ATP(aq) + L-glutamate(aq) + ammonia(aq) = ADP(aq) + phosphate(aq) + L-glutamine(aq), , ,310.15,7.58,831, , , , , , ,0.0098 MgCl2 & 0.0098 MgCl2,0.17, , 
 acetylcholinesterase, acetylcholine(aq) + H2O(l) = acetate(aq) + choline(aq),Sturtevant J.M.; J. Biol. Chem.; 247 968 (1972).,72STU_745,298.15,7.1, , , calorimetry, phosphate, ," 3.1.1.7                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-3.57
 cyclomaltodextrin glucanotransferase and a-amylase, cyclomaltoheptaose(aq) + 7 H2O(l) = 7 D-glucose(aq),Takahashi K.; Ono S.; J. Biochem. (Tokyo); 72 679 (1972).,72TAK/ONO_439,298.15,5, , , calorimetry, acetate (0.02 mol dm-3), ," 2.4.1.19 & 3.2.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-48.7
 cyclomaltodextrin glucanotransferase and a-amylase, cyclomaltohexaose(aq) + 6 H2O(l) = 6 D-glucose(aq),Takahashi K.; Ono S.; J. Biochem. (Tokyo); 72 679 (1972).,72TAK/ONO_440,298.15,5, , , calorimetry, acetate (0.02 mol dm-3), ," 2.4.1.19 & 3.2.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-53.5
 cyclomaltodextrin glucanotransferase and a-amylase, cyclomaltooctaose(aq) + 8 H2O(l) = 8 D-glucose(aq),Takahashi K.; Ono S.; J. Biochem. (Tokyo); 72 679 (1972).,72TAK/ONO_441,298.15,5, , , calorimetry, acetate (0.02 mol dm-3), ," 2.4.1.19 & 3.2.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-53
 cyclomaltodextrin glucanotransferase and a-amylase, cyclomaltoheptaose(aq) + 7 H2O(l) = 7 D-glucose(aq),Takahashi K.; Ono S.; J. Biochem. (Tokyo); 72 679 (1972).,72TAK/ONO_870,298.15,5, , , calorimetry, acetate (0.02 mol dm-3), ," 2.4.1.19 & 3.2.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-48.7
 cyclomaltodextrin glucanotransferase and a-amylase, cyclomaltohexaose(aq) + 6 H2O(l) = 6 D-glucose(aq),Takahashi K.; Ono S.; J. Biochem. (Tokyo); 72 679 (1972).,72TAK/ONO_871,298.15,5, , , calorimetry, acetate (0.02 mol dm-3), ," 2.4.1.19 & 3.2.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-53.5
 cyclomaltodextrin glucanotransferase and a-amylase, cyclomaltooctaose(aq) + 8 H2O(l) = 8 D-glucose(aq),Takahashi K.; Ono S.; J. Biochem. (Tokyo); 72 679 (1972).,72TAK/ONO_872,298.15,5, , , calorimetry, acetate (0.02 mol dm-3), ," 2.4.1.19 & 3.2.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-53
 alkaline phosphatase, phosphocreatine(aq) + H2O(l) = creatine(aq) + orthophosphate(aq),Woledge R.C.; Cold Spring Harbor Symp. Quant. Biol.; 37 629 (1972).,72WOL_800,298.15,6.1, , , calorimetry, histidine + ammonia, ," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-20
 alkaline phosphatase, phosphocreatine(aq) + H2O(l) = creatine(aq) + orthophosphate(aq), , ,298.15,7.1, , , , , , , , , , ,-28
 alkaline phosphatase, phosphocreatine(aq) + H2O(l) = creatine(aq) + orthophosphate(aq), , ,298.15,7.78, , , , , , , , , , ,-34
 alkaline phosphatase, phosphocreatine(aq) + H2O(l) = creatine(aq) + orthophosphate(aq), , ,298.15,8.33, , , , , , , , , , ,-37.5
 alkaline phosphatase, phosphocreatine(aq) + H2O(l) = creatine(aq) + orthophosphate(aq), , ,298.15,8.73, , , , , , , , , , ,-40
 glucose-6-phosphate 1-epimerase, Î±-D-glucose 6-phosphate(aq) = Î²-D-glucose 6-phosphate(aq),Wurster B.; Hess B.; FEBS Lett.; 23 341 (1972).,72WUR/HES_1276,298.15,7.6,1.7, , enzymatic assay and spectrophotometry, imidazole (0.050 mol dm-3) + HCl, ," 5.1.3.15                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 urease, urea(aq) + 2 H2O(l) = 2 ammonia(aq) + carbon dioxide(aq),"Beezer A.E.; Steenson T.I.; Tyrrell H.J.V.; in ""Protides of the Biological Fluids""; H. Peeters ed.; Pergamon Press (1973) pp. 563-566.",73BEE/STE_998,298.15,6.95, , , calorimetry, Na2HPO4(0.5 mol dm-3) + NaH2PO4(0.25 mol dm-3), ," 3.5.1.5                                                    (ENZYME |                                                 KEGG)                                                ", , , , ,-33.1
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq),De Weer P.; Lowe A.G.; J. Biol. Chem.; 248 2829 (1973).,73DEW/LOW_646,288.15,7.25,0.317, , spectrophotometry, triethanolamine,1.65 = -log[Mg+2]," 2.7.4.3                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.321, , , ,1.7 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.352, , , ,1.85 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.38, , , ,1.9 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.588, , , ,2.15 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.549, , , ,2.2 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.383, , , ,2.25 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.617, , , ,2.3 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.971, , , ,2.67 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.935, , , ,2.68 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.877, , , ,2.8 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,1.24, , , ,2.8 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,1.27, , , ,2.93 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,1.41, , , ,3.12 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,1.37, , , ,3.3 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,1.23, , , ,3.5 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,1.45, , , ,3.5 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,1.14, , , ,3.78 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.794, , , ,4.0 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.82, , , ,4.1 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.794, , , ,4.15 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.694, , , ,4.35 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.562, , , ,4.8 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.521, , , ,4.9 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.472, , , ,5.0 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.341, , , ,5.15 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.461, , , ,5.28 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.518, , , ,5.3 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.488, , , ,5.4 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.478, , , ,5.45 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.461, , , ,6.25 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.461, , , ,6.35 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.444, , , ,6.4 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.444, , , ,6.45 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.483, , , ,6.6 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.518, , , ,6.7 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.469, , , ,6.75 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.444, , , ,6.8 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.422, , , ,7.25 = -log[Mg+2], , , , , , 
 adenylate kinase, 2 ADP(aq) = AMP(aq) + ATP(aq), , ,288.15,7.25,0.452, , , ,7.4 = -log[Mg+2], , , , , , 
 citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq),Guynn R.W.; Gelberg H.J.; Veech R.L.; J. Biol. Chem.; 248 6957 (1973).,73GUY/GEL_1127,311.15,7,0.877, , spectrophotometry, potassium phosphate (0.025 mol dm-3), ," 4.1.3.6                                                    (ENZYME |                                                 KEGG)                                                ", ,0.000116 MgSO4 & 0.000116 MgSO4,0.25, , 
 citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq), , ,311.15,7,0.909, , , , , , ,0.00102 MgSO4 & 0.00102 MgSO4,0.25, , 
 citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq), , ,311.15,7,0.592, , , , , , ,0.00201 MgSO4 & 0.00201 MgSO4,0.25, , 
 citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq), , ,311.15,7,0.314, , , , , , ,0.00508 MgSO4 & 0.00508 MgSO4,0.25, , 
 citrate (pro-3S)-lyase, citrate(aq) = acetate(aq) + oxaloacetate(aq), , ,311.15,7,0.168, , , , , , ,0.01 MgSO4 & 0.01 MgSO4,0.25, , 
 citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq),Guynn R.W.; Gelberg H.J.; Veech R.L.; J. Biol. Chem.; 248 6957 (1973).,73GUY/GEL_1128,311.15,6.36,992000, , spectrophotometry, potassium phosphate (0.025 mol dm-3), ," 4.1.3.7                                                    (ENZYME |                                                 KEGG)                                                ", ,0.00277 MgSO4 & 0.00277 MgSO4,0.25, , 
 citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq), , ,311.15,6.39,290000, , , , , , ,0.00277 MgSO4 & 0.00277 MgSO4,0.25, , 
 citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq), , ,311.15,6.42,418000, , , , , , ,0.00277 MgSO4 & 0.00277 MgSO4,0.25, , 
 citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq), , ,311.15,6.52,409000, , , , , , ,0.00277 MgSO4 & 0.00277 MgSO4,0.25, , 
 citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq), , ,311.15,6.75,697000, , , , , , ,0.00277 MgSO4 & 0.00277 MgSO4,0.25, , 
 citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq), , ,311.15,6.79,595000, , , , , , ,0.00277 MgSO4 & 0.00277 MgSO4,0.25, , 
 citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq), , ,311.15,6.81,1310000, , , , , , ,0.00277 MgSO4 & 0.00277 MgSO4,0.25, , 
 citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq), , ,311.15,6.82,773000, , , , , , ,0.00277 MgSO4 & 0.00277 MgSO4,0.25, , 
 citrate (si)-synthase, oxaloacetate(aq) + acetyl-CoA(aq) + H2O(l) = citrate(aq) + CoA(aq), , ,311.15,6.82,1340000, , , , , , ,0.00277 MgSO4 & 0.00277 MgSO4,0.25, , 
